Date;Open;High;Low;Close
05-Jun-17;2512.40;2686.81;2510.22;2686.81
06-Jun-17;2690.84;2999.91;2690.84;2863.20
07-Jun-17;2869.38;2869.38;2700.56;2732.16
08-Jun-17;2720.49;2815.30;2670.95;2805.62
09-Jun-17;2807.44;2901.71;2795.62;2823.81
10-Jun-17;2828.14;2950.99;2746.55;2947.71
11-Jun-17;2942.41;2996.60;2840.53;2958.11
12-Jun-17;2953.22;2997.26;2518.56;2659.63
13-Jun-17;2680.91;2789.04;2650.38;2717.02
14-Jun-17;2716.88;2786.83;2412.94;2506.37
15-Jun-17;2499.58;2534.71;2212.96;2464.58
16-Jun-17;2469.57;2539.92;2385.15;2518.56
17-Jun-17;2514.01;2685.19;2484.96;2655.88
18-Jun-17;2655.35;2662.10;2516.33;2548.29
19-Jun-17;2549.03;2662.85;2549.03;2589.60
20-Jun-17;2591.26;2763.45;2589.82;2721.79
21-Jun-17;2709.43;2772.01;2660.40;2689.10
22-Jun-17;2691.03;2723.74;2642.36;2705.41
23-Jun-17;2707.34;2765.17;2706.37;2744.91
24-Jun-17;2738.52;2757.94;2583.19;2608.72
25-Jun-17;2607.25;2682.26;2552.12;2589.41
26-Jun-17;2590.57;2615.25;2376.29;2478.45
27-Jun-17;2478.45;2552.45;2332.99;2552.45
28-Jun-17;2553.03;2603.98;2484.42;2574.79
29-Jun-17;2567.56;2588.83;2510.48;2539.32
30-Jun-17;2539.24;2559.25;2478.43;2480.84
01-Jul-17;2492.60;2515.27;2419.23;2434.55
02-Jul-17;2436.40;2514.28;2394.84;2506.47
03-Jul-17;2498.56;2595.00;2480.47;2564.06
04-Jul-17;2561.00;2631.59;2559.35;2601.64
05-Jul-17;2602.87;2622.65;2538.55;2601.99
06-Jul-17;2608.10;2616.72;2581.69;2608.56
07-Jul-17;2608.59;2916.14;2498.87;2518.66
08-Jul-17;2520.27;2571.34;2492.31;2571.34
09-Jul-17;2572.61;2635.49;2517.59;2518.44
10-Jul-17;2525.25;2537.16;2321.13;2372.56
11-Jul-17;2385.89;2413.47;2296.81;2337.79
12-Jul-17;2332.77;2423.71;2275.14;2398.84
13-Jul-17;2402.70;2425.22;2340.83;2357.90
14-Jul-17;2360.59;2363.25;2183.22;2233.34
15-Jul-17;2230.12;2231.14;1990.41;1998.86
16-Jul-17;1991.98;2058.77;1843.03;1929.82
17-Jul-17;1932.62;2230.49;1932.62;2228.41
18-Jul-17;2233.52;2387.61;2164.77;2318.88
19-Jul-17;2323.08;2397.17;2260.23;2273.43
20-Jul-17;2269.89;2900.70;2269.89;2817.60
21-Jul-17;2838.41;2838.41;2621.85;2667.76
22-Jul-17;2668.63;2862.42;2657.71;2810.12
23-Jul-17;2808.10;2832.18;2653.94;2730.40
24-Jul-17;2732.70;2777.26;2699.19;2754.86
25-Jul-17;2757.50;2768.08;2480.96;2576.48
26-Jul-17;2577.77;2610.76;2450.80;2529.45
27-Jul-17;2538.71;2693.32;2529.34;2671.78
28-Jul-17;2679.73;2897.45;2679.73;2809.01
29-Jul-17;2807.02;2808.76;2692.80;2726.45
30-Jul-17;2724.39;2758.53;2644.85;2757.18
31-Jul-17;2763.24;2889.62;2720.61;2875.34
01-Aug-17;2871.30;2921.35;2685.61;2718.26
02-Aug-17;2727.13;2762.53;2668.59;2710.67
03-Aug-17;2709.56;2813.31;2685.14;2804.73
04-Aug-17;2806.93;2899.33;2743.72;2895.89
05-Aug-17;2897.63;3290.01;2874.83;3252.91
06-Aug-17;3257.61;3293.29;3155.60;3213.94
07-Aug-17;3212.78;3397.68;3180.89;3378.94
08-Aug-17;3370.22;3484.85;3345.83;3419.94
09-Aug-17;3420.40;3422.76;3247.67;3342.47
10-Aug-17;3341.84;3453.45;3319.47;3381.28
11-Aug-17;3373.82;3679.72;3372.12;3650.62
12-Aug-17;3650.63;3949.92;3613.70;3884.71
13-Aug-17;3880.04;4208.39;3857.80;4073.26
14-Aug-17;4066.10;4325.13;3989.16;4325.13
15-Aug-17;4326.99;4455.97;3906.18;4181.93
16-Aug-17;4200.34;4381.23;3994.42;4376.63
17-Aug-17;4384.44;4484.70;4243.71;4331.69
18-Aug-17;4324.34;4370.13;4015.40;4160.62
19-Aug-17;4137.75;4243.26;3970.55;4193.70
20-Aug-17;4189.31;4196.29;4069.88;4087.66
21-Aug-17;4090.48;4109.14;3988.60;4001.74
22-Aug-17;3998.35;4128.76;3674.58;4100.52
23-Aug-17;4089.01;4255.78;4078.41;4151.52
24-Aug-17;4137.60;4376.39;4130.26;4334.68
25-Aug-17;4332.82;4455.70;4307.35;4371.60
26-Aug-17;4372.06;4379.28;4269.52;4352.40
27-Aug-17;4345.10;4416.59;4317.29;4382.88
28-Aug-17;4384.45;4403.93;4224.64;4382.66
29-Aug-17;4389.21;4625.68;4352.13;4579.02
30-Aug-17;4570.36;4626.52;4471.41;4565.30
31-Aug-17;4555.59;4736.05;4549.40;4703.39
01-Sep-17;4701.76;4892.01;4678.53;4892.01
02-Sep-17;4901.42;4975.04;4469.24;4578.77
03-Sep-17;4585.27;4714.08;4417.59;4582.96
04-Sep-17;4591.63;4591.63;4108.40;4236.31
05-Sep-17;4228.29;4427.84;3998.11;4376.53
06-Sep-17;4376.59;4617.25;4376.59;4597.12
07-Sep-17;4589.14;4655.04;4491.33;4599.88
08-Sep-17;4605.16;4661.00;4075.18;4228.75
09-Sep-17;4229.81;4308.82;4114.11;4226.06
10-Sep-17;4229.34;4245.44;3951.04;4122.94
11-Sep-17;4122.47;4261.67;4099.40;4161.27
